Year,Region,Total,Crimes against the person,Murder,Intentional murder,Attempted murder,Killing a newborn,Pushing to suicide,Lust,Molestation,Rape,Attempted rape,Pimping,Forced homosexualism,Body injury,Severe body injury,Kidnapping,Keeping hostage,Human trafficing,Crime against property,Robbery,Armed robbery,Armed robbery with firearms,Stealing,Pickpocketing,Breaking and entering,Office break in,Store break in,Vehicle break in ,Fraud,Extortion,Generally dangerous crime,Arson,Damage through explosion,Illegal firearms ownership,Vehicle theft,Falsifying license plates,Illegal entry of a vehicle,Crimes related to drugs,Smuggling,"Production, possession, distribution, carrying"
2001,Silistra,57.87379193,89.53488372,66.66666667,75,0,0,0,95.23809524,87.5,100,100,0,100,88.63636364,0,100,0,92.30769231,45.04737295,66.66666667,0,0,41.97530864,54.54545455,31.1827957,22.22222222,39.3442623,33.33333333,75.86206897,100,69.80392157,22.5,0,90.90909091,0,100,0,100,0,0
2001,Sliven,65.27383367,82.58064516,80,91.66666667,71.42857143,0,0,92.30769231,90.90909091,85.71428571,100,100,100,75.64102564,66.66666667,100,0,100,59.31232092,82.35294118,0,0,57.56067206,48,41.71122995,47.16981132,55.90551181,35.46511628,88.46153846,100,71.35416667,20.51282051,66.66666667,90.32258065,0,0,0,100,0,100
2001,Smolyan,80.31290743,96.77419355,85.71428571,100,100,0,50,100,100,100,100,100,0,96,0,100,0,100,65.44117647,100,0,0,62.25352113,77.77777778,42.85714286,50,59.52380952,60,93.75,0,97.05882353,50,0,100,0,0,0,100,0,100
2001,Sofia  city,45.1874306,77.20670391,52.4137931,76.92307692,81.57894737,0,6.52173913,86.23188406,74.50980392,94.64285714,80,100,66.66666667,79.26565875,55.55555556,88.88888889,100,85.71428571,47.01881088,51.76470588,44.11764706,37.5,43.13126253,76.28111274,34.08916218,18.04195804,60.91724826,44.71045631,82.74078862,76.92307692,29.29158928,11.36363636,0,87.32394366,32,23.52941176,52.94117647,99.36708861,0,99.49174079
2001,Sofia,48.30042085,70.83333333,25.33333333,26.08695652,66.66666667,0,10,92.30769231,88.88888889,100,0,50,100,87.02290076,57.14285714,100,0,92,41.90333832,61.66666667,16.66666667,0,38.86771911,71.42857143,33.90804598,48.33333333,28.32618026,49.49494949,84,100,49.16792738,34.09090909,20,90.90909091,33.33333333,100,0,100,0,100
2001,Stara Zagora,45.99758995,85.53054662,68.57142857,100,83.33333333,0,20,90.90909091,86.66666667,100,80,66.66666667,100,85.87570621,33.33333333,92.85714286,100,89.65517241,37.76694522,47.2,46.66666667,16.66666667,33.97453265,21.23893805,35.0421804,41.75824176,32.5732899,27.46031746,74.29906542,70,56.53710247,14.58333333,8.333333333,94.23076923,0,0,100,80,0,88.88888889
2001,Targovishte,63.80952381,96.49122807,91.66666667,100,100,0,100,100,100,100,100,100,100,95.16129032,100,100,0,100,55.63549161,56.52173913,0,0,52.0361991,50,45.66326531,58,50.52631579,48.68421053,86.66666667,100,78.87323944,50,0,100,0,0,0,100,0,100
2001,Haskovo,50.89031339,87.43169399,87.5,91.66666667,100,100,100,92.59259259,85.71428571,100,100,81.81818182,100,84,100,84.21052632,0,90.90909091,38.80126183,67.30769231,0,0,35.28037383,7.692307692,29.00641026,28.94736842,37.88546256,23.28767123,85.33333333,66.66666667,68.75,52.30769231,33.33333333,95.83333333,0,0,50,94.73684211,0,94.11764706
2001,Shumen,59.6096984,88.77005348,83.33333333,100,100,0,0,92.30769231,100,94.11764706,0,100,100,87.60330579,50,100,0,94.11764706,53.32259364,73.68421053,0,0,50.27272727,31.25,24.48979592,17.64705882,36.75675676,30,72,90,67.72277228,31.42857143,0,96.77419355,0,0,0,100,0,100
2001,Yambol,66.39503298,95.35864979,93.75,100,87.5,100,100,96,100,90.90909091,100,0,100,92.15686275,100,100,0,98.87640449,58.71313673,77.27272727,100,100,57.02075702,40.74074074,43.9628483,61.76470588,55.35714286,31.25,72.60273973,100,75.09433962,36.66666667,0,85.71428571,0,0,0,80,0,80
2001,Total,50.67939609,87.85060311,72.45862884,75.88652482,88.70056497,55.55555556,58.2278481,93.64214351,90.70422535,96.80638723,94.73684211,86.58536585,91.37931034,86.59252394,79.22077922,93.75,100,94.22680412,44.41232242,52.74023101,41.90871369,31.53846154,40.88505527,58.32194589,31.82883454,31.34479272,44.59275738,34.72713864,82.36322758,80.68181818,50.8343754,23.37992376,17.59259259,93.79679144,37.20930233,41.66666667,65.90909091,98.65501009,0,99.23769924
2002,Blagoevgrad,48.68461777,91.75824176,73.33333333,87.5,66.66666667,0,0,100,100,100,100,100,100,93.33333333,100,100,0,85.18518519,33.57758621,37.5,33.33333333,50,31.31212724,22.78481013,25.92592593,16.66666667,33.33333333,29.04040404,63.04347826,33.33333333,83.13253012,20,0,88.23529412,0,100,100,96.72131148,0,98.03921569
2002,Burgas,54.02565804,88.79598662,96,100,100,0,0,93.44262295,91.30434783,100,100,66.66666667,100,78.92376682,66.66666667,91.66666667,0,94.94584838,49.33442892,53.88888889,40,40,46.12314709,48.68421053,35.10466989,31.30434783,50.59221658,36.05072464,76.10921502,77.77777778,43.32939787,15.27777778,0,93.02325581,75,0,75,98.64864865,0,98.63013699
2002,Varna,50.08647879,89.54918033,76.78571429,72.72727273,83.33333333,100,80,93.44262295,86.95652174,100,100,100,100,85.32608696,100,89.47368421,100,97.97297297,42.26854096,49.74446337,81.81818182,0,37.38527432,26.62721893,29.88267771,28.91566265,45.60185185,22.17675941,77.35849057,75.86206897,48.27299209,17.1875,20,97.72727273,50,12,100,98.7012987,0,98.69281046
2002,Veliko Turnovo,64.40929313,91.50943396,87.5,87.5,100,0,100,100,100,100,100,100,100,87.28813559,100,100,0,97.2972973,57.30630925,73.25581395,0,0,54.69992769,50.57471264,35.48830812,48.38709677,39.25619835,42.01680672,90,66.66666667,78.28685259,15.15151515,0,100,0,12.5,0,100,0,100
2002,Vidin,55.71142285,88.23529412,100,100,100,0,0,100,100,100,0,0,0,83.16831683,100,88.88888889,0,100,46.13807245,36,0,0,43.61948956,42.85714286,37.5,40,38.23529412,31.16883117,89.13043478,100,70.04830918,15.15151515,0,100,0,0,0,100,0,100
2002,Vratsa,57.17965229,90.46321526,64,100,100,0,0,95.45454545,81.81818182,100,100,0,100,90.13452915,75,100,0,97.10144928,48.60352155,59.25925926,0,0,46.54237288,41.02564103,36,51.06382979,44.6969697,46.45669291,71.42857143,100,63.39285714,19.40298507,0,87.27272727,50,0,100,100,0,100
